장소명,주소명,상세페이지
참나무 배움터,서울특별시 용산구 새창로12길 11-18 (도원동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002142
상월곡실버복지센터,서울특별시 성북구 화랑로18길 6 (상월곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000086
강남노인종합복지관,서울특별시 강남구 삼성로 628 (삼성동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000027
시립도봉노인종합복지관,서울특별시 도봉구 도당로2길 12-13,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002124
시립성북노인종합복지관,서울특별시 성북구 종암로 15길 10,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002139
서울시민청 스마트서울전시관,서울특별시 중구 세종대로 110 (태평로1가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000652
시립도봉노인종합복지관,서울특별시 도봉구 도당로2길 12-13,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000096
양천어르신종합복지관,서울특별시 양천구 목동로3길 106 (신정동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000205
서초구보훈회관,서울특별시 서초구 방배로27길 13 (방배동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000146
영등포동자치회관,서울특별시 영등포구 국회대로44길 4 (영등포동7가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000112
강서구립봉제산어르신복지센터,서울특별시 강서구 초록마을로15길 12 (화곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002223
왕십리 도선동 주민센터3층 배움터교육장,서울특별시 성동구 마장로 141 (상왕십리동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000027
시립강북노인종합복지관,서울특별시 강북구 삼양로92길 40 (수유동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000086
